title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
SQL Server MCP Server,https://mcp.so/server/mssql-mcp-server/Popplywop,Description: SQL Server MCP Server - Provides SQL Server database access via Model Context Protocol Use cases: Querying customer data from a SQL Server database. Inserting new records into a database table. Updating existing records based on specific conditions.,Yes,"The MCP server provides access to SQL Server databases for querying, inserting, and updating records, which are standard tasks performed by database administrators, data analysts, and other IT professionals as part of their occupational duties according to O*NET.",Analyzing Data or Information; Documenting/Recording Information; Getting Information; Processing Information,"The SQL Server MCP Server enables querying, inserting, and updating data in a SQL Server database, which directly supports activities such as obtaining, processing, and analyzing information, as well as documenting or recording information in a structured system.",,,,,,,,,,
DART-mcp-server,https://mcp.so/server/DART-mcp-server/snaiws,Description: API mcp Use cases: Fetching financial statements of publicly listed companies in Korea. Analyzing trends in corporate disclosures over time. Integrating financial data into applications for analysis and reporting.,Yes,"The MCP server enables fetching financial statements, analyzing corporate disclosure trends, and integrating financial data for analysis and reporting, all of which are concrete tasks performed by financial analysts, accountants, and business intelligence professionals as represented in O*NET.",Getting Information; Analyzing Data or Information; Documenting/Recording Information; Processing Information,"The MCP server enables fetching financial statements, analyzing trends in disclosures, and integrating financial data for analysis and reporting. These activities directly involve obtaining information, processing and analyzing data, and recording or documenting information for further use.",,,,,,,,,,
SumoLogic MCP Server,https://mcp.so/server/mcp-sumologic/greyaperez,Description: MCP Server for SumoLogic API Use cases: Monitoring application performance through SumoLogic. Collecting and analyzing logs from multiple sources. Automating data reporting and visualization tasks.,Yes,"The MCP server enables monitoring application performance, collecting and analyzing logs, and automating data reporting and visualization, all of which are concrete tasks performed by IT professionals such as system administrators and data analysts, and are represented in O*NET.","Analyzing Data or Information; Getting Information; Monitoring Processes, Materials, or Surroundings; Processing Information; Documenting/Recording Information","The MCP server for SumoLogic enables automated access to log data, performance monitoring, and data analysis/reporting, which directly aligns with activities such as analyzing data, monitoring processes, collecting information, and processing information. These are core to the described use cases and are commonly automated in IT and data analysis roles.",,,,,,,,,,
Alist MCP Server,https://mcp.so/server/alist-mcp-server/JavanShen,Description: MCP Server for Alist Use cases: Integrating Alist API into applications for data retrieval. Facilitating communication between different services using MCP. Automating tasks that require interaction with the Alist API.,Yes,"The MCP server enables integration with the Alist API for data retrieval, service communication, and task automation, all of which are common activities in software development and IT occupations as represented in O*NET.",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server for Alist enables integration with the Alist API for data retrieval, automates tasks involving the API, and facilitates communication between services. These activities directly involve ""Getting Information"" and ""Processing Information"" from external sources, as well as ""Communicating with People Outside the Organization"" when facilitating inter-service communication.",,,,,,,,,,
Vapi MCP for Cursor,https://mcp.so/server/vapi-mcp/matthewdcage,Description: Vapi.ai MCP server & HTTP Server Use cases: Making customer service calls using AI assistants. Creating personalized voice assistants for different applications. Analyzing conversation data for insights and improvements.,Yes,"The MCP server is described as enabling AI assistants to make customer service calls, create personalized voice assistants for applications, and analyze conversation data for insights—activities that align with standardized occupational tasks in customer service, technical support, and data analysis as represented in O*NET.",Communicating with People Outside the Organization; Performing for or Working Directly with the Public; Analyzing Data or Information; Processing Information,"The MCP server enables AI assistants to make customer service calls, create personalized voice assistants, and analyze conversation data. These activities involve communicating with people outside the organization, performing for or working directly with the public, analyzing data or information, and processing information, as these are core to customer service, voice interaction, and data analysis tasks.",,,,,,,,,,
MCP Graph API Integration,https://mcp.so/server/graph_api_mcp/ovaismehboob,Description: MCP Server that talks to Graph API Use cases: Querying Azure AD resources using natural language. Managing application registrations in Azure AD. Assisting users with Azure AD permissions and configurations.,Yes,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions, which are concrete tasks performed by IT administrators and support staff as part of their occupational duties, as represented in O*NET job tasks related to network and systems administration.",Getting Information; Processing Information; Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Providing Consultation and Advice to Others; Updating and Using Relevant Knowledge,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions using natural language, which involves obtaining, processing, and analyzing information about directory resources and configurations. These activities align with GWAs related to information gathering, processing, and evaluation.",,,,,,,,,,
Filament MCP Server - Laravel Loop,https://mcp.so/server/laravel-loop-filament/kirschbaum-development,Description: Filament MCP Server for Laravel Loop Use cases: Listing all available Filament Resources for an MCP client. Describing the structure and fields of a specific resource. Querying data with optional filters for specific resources. Executing bulk actions on resources in ReadWrite mode.,Yes,"The MCP server enables listing, describing, querying, and performing bulk actions on Filament Resources, which are typical tasks in database administration, data management, and backend web development—roles that are well-represented in O*NET and the formal economy.",Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information,"The MCP server enables listing, describing, querying, and performing actions on data resources, which directly involves obtaining, processing, and analyzing information. These activities align with GWAs related to information gathering, processing, and analysis, as well as documenting or recording information when describing resource structures.",,,,,,,,,,
mxHERO Mail2Cloud MCP,https://mcp.so/server/mxhero-mail2cloud-mcp/mxHERO,"Description: A high performance email search MCP for teams & companies. Secure & scalable across multiple email accounts and archives with support for custom filters (e.g., customer facing communications only). This MCP is used to facilitate seamless integration to mxHERO Mail2Cloud Advanced. Mail2Cloud Advanced is a high performance data pipeline to a company's email data. Mail2Cloud Advanced connects to company email services and optimizes the content for fast, scalable and secure access by AI solutions Use cases: Facilitating knowledge recovery from extensive email archives. Enhancing productivity by providing quick access to relevant email communications. Supporting AI solutions in searching and analyzing email data.",Yes,"The MCP server enables high-performance search and retrieval of email communications across company accounts, which aligns with occupational tasks such as information retrieval, knowledge management, and email analysis—activities commonly performed by administrative professionals, knowledge workers, and IT staff as represented in O*NET.",Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information,"The MCP server enables AI assistants to search, retrieve, and analyze information from large email archives, supporting tasks such as knowledge recovery and productivity enhancement. This directly aligns with activities like ""Getting Information,"" ""Processing Information,"" ""Analyzing Data or Information,"" and ""Documenting/Recording Information,"" as these involve searching for, extracting, analyzing, and recording relevant data from communications.",,,,,,,,,,
MCP Server,https://mcp.so/server/AzureAI.MCP/RobertEichenseer,"Description: MCP Server (Resources, Tools, Prompts)",Not enough information,"The description only states that the MCP server involves ""Resources, Tools, Prompts"" and allows AI assistants to access external tools, APIs, or data sources, but it does not specify any concrete tasks or occupational activities it enables. The information is too generic to determine if it performs or enables a standardized job task.",,,,,,,,,,,,
mcp-fastify-server,https://mcp.so/server/mcp-fastify-server/bgaurav7,Description: Sample Model Context Protocol (MCP) Server Use cases: Developing applications that require a structured communication protocol. Learning how to implement a server using Fastify and TypeScript. Prototyping and testing Model Context Protocol implementations.,Yes,"The description states that the MCP server is used for developing applications with structured communication, learning server implementation, and prototyping/testing protocol implementations, all of which are concrete tasks performed by software developers and engineers as part of their occupational roles according to O*NET.",Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information; Updating and Using Relevant Knowledge,"The MCP server enables structured communication between AI assistants and external tools, APIs, or data sources, which directly supports activities such as obtaining, processing, and analyzing information, as well as documenting or recording information during prototyping and testing. It also facilitates updating and using relevant knowledge when developing or learning about protocol implementations.",,,,,,,,,,
