title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
SQL Server MCP Server,https://mcp.so/server/mssql-mcp-server/Popplywop,Description: SQL Server MCP Server - Provides SQL Server database access via Model Context Protocol Use cases: Querying customer data from a SQL Server database. Inserting new records into a database table. Updating existing records based on specific conditions.,Yes,"The MCP server enables querying, inserting, and updating records in a SQL Server database, which are core tasks performed by database administrators, analysts, and other IT professionals as part of their paid occupational duties.",Getting Information; Processing Information; Documenting/Recording Information,"The SQL Server MCP Server enables querying, inserting, and updating records in a database, which directly automates the activities of retrieving (Getting Information), manipulating (Processing Information), and storing/updating data (Documenting/Recording Information) in a structured information system.",,,,,,,,,,
DART-mcp-server,https://mcp.so/server/DART-mcp-server/snaiws,Description: API mcp Use cases: Fetching financial statements of publicly listed companies in Korea. Analyzing trends in corporate disclosures over time. Integrating financial data into applications for analysis and reporting.,Yes,"The MCP server enables fetching financial statements, analyzing corporate disclosure trends, and integrating financial data for analysis and reporting, all of which are tasks commonly performed by financial analysts, accountants, and business intelligence professionals as paid work.",Getting Information; Analyzing Data or Information; Processing Information,"The MCP server automates the retrieval of financial statements and corporate disclosures (Getting Information), supports trend analysis (Analyzing Data or Information), and enables integration of financial data for further analysis and reporting (Processing Information). These activities directly correspond to the described use cases.",,,,,,,,,,
SumoLogic MCP Server,https://mcp.so/server/mcp-sumologic/greyaperez,Description: MCP Server for SumoLogic API Use cases: Monitoring application performance through SumoLogic. Collecting and analyzing logs from multiple sources. Automating data reporting and visualization tasks.,Yes,"The MCP server enables monitoring application performance, collecting and analyzing logs, and automating data reporting and visualization, all of which are tasks commonly performed by IT professionals, DevOps engineers, and data analysts as part of their paid occupational roles.","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings; Processing Information; Documenting/Recording Information","The MCP server enables AI assistants to collect, analyze, and report on log and performance data from SumoLogic, which directly automates the analysis and processing of information, monitoring of systems, and documentation/reporting of findings.",,,,,,,,,,
Alist MCP Server,https://mcp.so/server/alist-mcp-server/JavanShen,Description: MCP Server for Alist Use cases: Integrating Alist API into applications for data retrieval. Facilitating communication between different services using MCP. Automating tasks that require interaction with the Alist API.,Yes,"The MCP server enables integration with the Alist API for data retrieval, service communication, and task automation, all of which are activities commonly performed by software developers and IT professionals as part of their paid work.",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server for Alist automates retrieving data from the Alist API (Getting Information), facilitates communication between services (Communicating with People Outside the Organization), and enables automated handling and use of that data (Processing Information). These activities directly correspond to the described use cases.",,,,,,,,,,
Vapi MCP for Cursor,https://mcp.so/server/vapi-mcp/matthewdcage,Description: Vapi.ai MCP server & HTTP Server Use cases: Making customer service calls using AI assistants. Creating personalized voice assistants for different applications. Analyzing conversation data for insights and improvements.,Yes,"The MCP server enables making customer service calls, creating personalized voice assistants, and analyzing conversation data, all of which are tasks that humans are commonly paid to perform in various industries.",Communicating with People Outside the Organization; Analyzing Data or Information; Performing for or Working Directly with the Public,"The MCP server enables AI assistants to make customer service calls (communicating externally and performing for/with the public) and analyze conversation data (analyzing data or information), which directly correspond to these GWAs.",,,,,,,,,,
MCP Graph API Integration,https://mcp.so/server/graph_api_mcp/ovaismehboob,Description: MCP Server that talks to Graph API Use cases: Querying Azure AD resources using natural language. Managing application registrations in Azure AD. Assisting users with Azure AD permissions and configurations.,Yes,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions, all of which are tasks commonly performed by IT professionals and administrators as part of their paid job responsibilities.",Getting Information;Processing Information;Evaluating Information to Determine Compliance with Standards;Providing Consultation and Advice to Others,"The MCP server enables querying and managing Azure AD resources, which involves retrieving (Getting Information), processing, and evaluating data (Processing Information; Evaluating Information to Determine Compliance with Standards), and assisting users with permissions and configurations (Providing Consultation and Advice to Others). These activities align directly with the described use cases.",,,,,,,,,,
Filament MCP Server - Laravel Loop,https://mcp.so/server/laravel-loop-filament/kirschbaum-development,Description: Filament MCP Server for Laravel Loop Use cases: Listing all available Filament Resources for an MCP client. Describing the structure and fields of a specific resource. Querying data with optional filters for specific resources. Executing bulk actions on resources in ReadWrite mode.,Yes,"The MCP server enables listing, describing, querying, and performing bulk actions on Filament Resources, which are typical tasks in data management, administration, and software development roles—activities for which people are commonly paid.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables listing, describing, and querying data about resources, which aligns with ""Getting Information"" and ""Processing Information."" It also provides structured descriptions of resources and their fields, which fits ""Documenting/Recording Information.""",,,,,,,,,,
mxHERO Mail2Cloud MCP,https://mcp.so/server/mxhero-mail2cloud-mcp/mxHERO,"Description: A high performance email search MCP for teams & companies. Secure & scalable across multiple email accounts and archives with support for custom filters (e.g., customer facing communications only). This MCP is used to facilitate seamless integration to mxHERO Mail2Cloud Advanced. Mail2Cloud Advanced is a high performance data pipeline to a company's email data. Mail2Cloud Advanced connects to company email services and optimizes the content for fast, scalable and secure access by AI solutions Use cases: Facilitating knowledge recovery from extensive email archives. Enhancing productivity by providing quick access to relevant email communications. Supporting AI solutions in searching and analyzing email data.",Yes,"The MCP server enables searching and analyzing company email data, facilitating knowledge recovery and enhancing productivity—tasks that are commonly performed by knowledge workers, compliance officers, and other professionals as part of their paid job responsibilities.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables AI assistants to search, retrieve, and analyze information from extensive email archives, which directly automates the activities of getting information, processing information, and analyzing data or information from email communications.",,,,,,,,,,
MCP Server,https://mcp.so/server/AzureAI.MCP/RobertEichenseer,"Description: MCP Server (Resources, Tools, Prompts)",Yes,"The description states that the MCP server allows AI assistants to access external tools, APIs, or data sources to perform real-world tasks, which are activities that humans are often paid to do in various occupational settings.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables AI assistants to access external tools, APIs, or data sources, which primarily automates the activities of retrieving (Getting Information), handling (Processing Information), and potentially storing or transmitting (Documenting/Recording Information) data and knowledge from various resources.",,,,,,,,,,
mcp-fastify-server,https://mcp.so/server/mcp-fastify-server/bgaurav7,Description: Sample Model Context Protocol (MCP) Server Use cases: Developing applications that require a structured communication protocol. Learning how to implement a server using Fastify and TypeScript. Prototyping and testing Model Context Protocol implementations.,Yes,"The MCP server is described as enabling structured communication protocols, application development, and prototyping/testing of protocol implementations, all of which are tasks that software developers and engineers are commonly paid to perform.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables structured communication between AI assistants and external tools or data sources, which primarily involves retrieving (Getting Information), handling (Processing Information), and potentially logging or recording (Documenting/Recording Information) data as part of its core functionality.",,,,,,,,,,
