title,dwa_llm_raw,dwa_human_raw,dwa_shared,dwa_llm_only,dwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
SQL Server MCP Server,Maintain data in information systems or databases; Update existing records based on specific conditions; Retrieve information from electronic sources; Analyze business or financial data; Prepare operational reports or records.,Maintain data in information systems or databases.; Record research or operational data.,Maintain data in information systems or databases,Analyze business or financial data; Prepare operational reports or records; Retrieve information from electronic sources; Update existing records based on specific conditions,Record research or operational data,5,2,1,4,1
DART-mcp-server,Analyze business or financial data; Analyze financial information; Analyze financial records or reports to determine state of operations; Analyze industry trends; Analyze market conditions or trends; Analyze market or customer related data; Analyze consumer trends,"Retrieve information from electronic sources.; Search files, databases or reference materials to obtain needed information.",,Analyze business or financial data; Analyze consumer trends; Analyze financial information; Analyze financial records or reports to determine state of operations; Analyze industry trends; Analyze market conditions or trends; Analyze market or customer related data,Retrieve information from electronic sources; Search files databases or reference materials to obtain needed information,7,2,0,7,2
SumoLogic MCP Server,Monitor computer system performance to ensure proper operation; Monitor the performance of computer networks; Gather organizational performance information; Analyze test or performance data to assess equipment operation; Prepare reports of operational or procedural activities.,"Analyze data to identify or resolve operational problems.; Analyze security of systems, network, or data.; Monitor computer system performance to ensure proper operation.; Monitor the performance of computer networks.",Monitor computer system performance to ensure proper operation; Monitor the performance of computer networks,Analyze test or performance data to assess equipment operation; Gather organizational performance information; Prepare reports of operational or procedural activities,Analyze data to identify or resolve operational problems; Analyze security of systems network or data,5,4,2,3,2
Alist MCP Server,"Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Search information sources to find specific data; Obtain information about goods or services",,,Obtain information about goods or services; Retrieve information from electronic sources; Search files databases or reference materials to obtain needed information; Search information sources to find specific data,,4,0,0,4,0
Vapi MCP for Cursor,Collect data about customer needs; Gather customer or product information to determine customer needs; Obtain information about goods or services; Provide information to the general public; Analyze data to improve operations.,"Contact current or potential customers to promote products or services.; Market products, services, or events.; Promote agricultural or hunting activities.; Promote educational institutions or programs.; Promote environmental sustainability or conservation initiatives.; Promote products, activities, or organizations.; Promote products, services, or programs.; Answer telephones to direct calls or provide information.; Provide customers with general information or assistance.; Provide notifications to customers or patrons.",,Analyze data to improve operations; Collect data about customer needs; Gather customer or product information to determine customer needs; Obtain information about goods or services; Provide information to the general public,Answer telephones to direct calls or provide information; Contact current or potential customers to promote products or services; Market products services or events; Promote agricultural or hunting activities; Promote educational institutions or programs; Promote environmental sustainability or conservation initiatives; Promote products activities or organizations; Promote products services or programs; Provide customers with general information or assistance; Provide notifications to customers or patrons,5,10,0,5,10
MCP Graph API Integration,Retrieve information from electronic sources; Search information sources to find specific data; Verify accuracy of data; Examine documents to verify adherence to requirements; Review documents or materials for compliance with policies or regulations.,File documents or records.,,Examine documents to verify adherence to requirements; Retrieve information from electronic sources; Review documents or materials for compliance with policies or regulations; Search information sources to find specific data; Verify accuracy of data,File documents or records,5,1,0,5,1
Filament MCP Server - Laravel Loop,"Collect data about customer needs; Document operational activities; Maintain data in information systems or databases; Maintain operational records; Obtain information about goods or services; Prepare operational reports or records; Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Search information sources to find specific data.",Retrieve information from electronic sources.,Retrieve information from electronic sources,Collect data about customer needs; Document operational activities; Maintain data in information systems or databases; Maintain operational records; Obtain information about goods or services; Prepare operational reports or records; Search files databases or reference materials to obtain needed information; Search information sources to find specific data,,9,1,1,8,0
mxHERO Mail2Cloud MCP,"Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Search information sources to find specific data; Use databases to locate investigation details or other information; Analyze data to assess operational or project effectiveness; Analyze data to identify or resolve operational problems; Analyze operational or research data.",Retrieve information from electronic sources.,Retrieve information from electronic sources,Analyze data to assess operational or project effectiveness; Analyze data to identify or resolve operational problems; Analyze operational or research data; Search files databases or reference materials to obtain needed information; Search information sources to find specific data; Use databases to locate investigation details or other information,,7,1,1,6,0
mcp-fastify-server,Retrieve information from electronic sources; Search information sources to find specific data; Verify accuracy of data; Update technical knowledge.,Configure computer networks.; Install programs onto computer or computer-controlled equipment.,,Retrieve information from electronic sources; Search information sources to find specific data; Update technical knowledge; Verify accuracy of data,Configure computer networks; Install programs onto computer or computer-controlled equipment,4,2,0,4,2
Hubble AI for Solana,Analyze business or financial data; Analyze financial information; Analyze financial records or reports to determine state of operations,Prepare analytical reports.,,Analyze business or financial data; Analyze financial information; Analyze financial records or reports to determine state of operations,Prepare analytical reports,3,1,0,3,1
