task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.01065906965702018,0.013803358608119471,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.7521392307692307,4.32,81.71,False,1.3860496153846154,4.15,98.79,False
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.021641141424859203,0.028025000810424455,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.9563846153846154,4.09,96.73,False,0.6570684615384615,3.69,83.82,False
"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",review and analyze legislation laws or public policy and recommend changes to promote or support interests of the general population or special groups,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.007186796965718133,0.009306809970625983,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.2683673076923077,3.81,62.05,False,0.44499307692307694,3.64,73.15,False
"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",direct or coordinate an organizations financial or budget activities to fund operations maximize investments or increase efficiency,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.00928631068604029,0.012025653332831336,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.8227653846153846,4.52,74.44,False,1.4203553846153847,4.54,94.19,False
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,direct or coordinate activities of businesses involved with buying or selling investment products or financial services,11-1011.00,Chief Executives,chief executives,Supplemental,87.0,Incumbent,1.0,0.01324308654357057,0.017149627361603036,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.9242665384615384,3.9,27.31,False,0.5793615384615385,3.86,40.27,False
"Serve as liaisons between organizations, shareholders, and outside organizations.",serve as liaisons between organizations shareholders and outside organizations,11-1011.00,Chief Executives,chief executives,Supplemental,87.0,Incumbent,1.0,0.004118276912939585,0.005333115825864303,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.9418542307692307,3.92,68.36,False,0.1973496153846154,3.56,56.76,False
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.03819499960432244,0.049462035012428275,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.724675,4.13,98.57,False,1.2357769230769229,4.4,100.0,False
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",deliver speeches write articles or present information at meetings or conventions to promote services exchange ideas or accomplish objectives,11-1011.00,Chief Executives,chief executives,Core,87.0,Incumbent,1.0,0.0013727589709798095,0.0017777052752880336,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.4302734615384615,3.94,92.7,False,0.26726230769230774,3.73,85.82,False
"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",prepare or present reports concerning activities expenses budgets government statutes or rulings or other items affecting businesses or program services,11-1011.00,Chief Executives,chief executives,Core,86.0,Incumbent,1.0,0.0045220295514630865,0.005855970318596114,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,90086.0,3385.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,203211.0,3206.0,0.058426312192346744,0.16184711304913268,0.14736470049383357,0.1702321975670495,0.5895446153846153,4.17,92.92,False,0.24745461538461538,3.65,81.8,False
"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",develop sustainability reports presentations or proposals for supplier employee academia media government public interest or other groups,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.002987769525073814,0.0038691232462152755,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.010272565757327221,0.028448753992388165,0.02590998215620306,0.029947273683036783,0.18571615384615384,4.04,100.0,False,0.14778192307692306,3.65,100.0,False
