title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
SQL Server MCP Server,https://mcp.so/server/mssql-mcp-server/Popplywop,Description: SQL Server MCP Server - Provides SQL Server database access via Model Context Protocol Use cases: Querying customer data from a SQL Server database. Inserting new records into a database table. Updating existing records based on specific conditions.,Yes,"The MCP server provides access to SQL Server databases for querying, inserting, and updating records, which are standard tasks performed by database administrators, data analysts, and other IT professionals as part of their occupational duties according to O*NET.",Getting Information; Processing Information; Documenting/Recording Information,"The SQL Server MCP Server enables querying, inserting, and updating data in a SQL Server database, which directly involves obtaining, processing, and recording information. These activities map to ""Getting Information,"" ""Processing Information,"" and ""Documenting/Recording Information"" in the ONET GWA list.",,,,,,,,,,
DART-mcp-server,https://mcp.so/server/DART-mcp-server/snaiws,Description: API mcp Use cases: Fetching financial statements of publicly listed companies in Korea. Analyzing trends in corporate disclosures over time. Integrating financial data into applications for analysis and reporting.,Yes,"The MCP server enables fetching financial statements, analyzing corporate disclosure trends, and integrating financial data for analysis and reporting, all of which are concrete tasks performed by financial analysts, accountants, and business intelligence professionals as represented in O*NET.",Getting Information; Analyzing Data or Information; Processing Information; Documenting/Recording Information,"The MCP server enables fetching financial statements, analyzing trends in disclosures, and integrating financial data for analysis and reporting. These activities primarily involve obtaining information, processing and analyzing data, and recording or documenting findings, which correspond to the GWAs of ""Getting Information,"" ""Analyzing Data or Information,"" ""Processing Information,"" and ""Documenting/Recording Information.""",,,,,,,,,,
SumoLogic MCP Server,https://mcp.so/server/mcp-sumologic/greyaperez,Description: MCP Server for SumoLogic API Use cases: Monitoring application performance through SumoLogic. Collecting and analyzing logs from multiple sources. Automating data reporting and visualization tasks.,Yes,"The MCP server enables monitoring application performance, collecting and analyzing logs, and automating data reporting and visualization, all of which are concrete tasks performed by IT professionals such as system administrators and data analysts, and are represented in O*NET.","Getting Information; Analyzing Data or Information; Processing Information; Monitoring Processes, Materials, or Surroundings","The MCP server for SumoLogic API enables monitoring application performance, collecting and analyzing logs, and automating data reporting and visualization. These activities primarily involve obtaining information from logs, processing and analyzing that data, and monitoring system performance, which map directly to the GWAs of Getting Information, Analyzing Data or Information, Processing Information, and Monitoring Processes, Materials, or Surroundings.",,,,,,,,,,
Alist MCP Server,https://mcp.so/server/alist-mcp-server/JavanShen,Description: MCP Server for Alist Use cases: Integrating Alist API into applications for data retrieval. Facilitating communication between different services using MCP. Automating tasks that require interaction with the Alist API.,Yes,"The MCP server enables integration with the Alist API for data retrieval, service communication, and task automation, all of which are common activities in software development and IT occupations as represented in O*NET.",Getting Information; Processing Information,"The MCP server for Alist primarily enables automated retrieval and processing of data via the Alist API, as well as facilitating communication between services and automating related tasks. These activities align most directly with ""Getting Information"" and ""Processing Information,"" as the core functions involve accessing, retrieving, and handling data from external sources.",,,,,,,,,,
Vapi MCP for Cursor,https://mcp.so/server/vapi-mcp/matthewdcage,Description: Vapi.ai MCP server & HTTP Server Use cases: Making customer service calls using AI assistants. Creating personalized voice assistants for different applications. Analyzing conversation data for insights and improvements.,Yes,"The MCP server is described as enabling AI assistants to make customer service calls, create personalized voice assistants for applications, and analyze conversation data for insights—activities that align with standardized occupational tasks in customer service, technical support, and data analysis as represented in O*NET.",Communicating with People Outside the Organization; Performing for or Working Directly with the Public; Analyzing Data or Information,"The MCP server enables AI assistants to make customer service calls, create personalized voice assistants, and analyze conversation data. These activities involve communicating with people outside the organization, performing for or working directly with the public, and analyzing data or information.",,,,,,,,,,
MCP Graph API Integration,https://mcp.so/server/graph_api_mcp/ovaismehboob,Description: MCP Server that talks to Graph API Use cases: Querying Azure AD resources using natural language. Managing application registrations in Azure AD. Assisting users with Azure AD permissions and configurations.,Yes,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions, which are concrete tasks performed by IT administrators and support staff as part of their occupational duties, as represented in O*NET job tasks related to network and systems administration.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions, which involves obtaining, processing, and analyzing information about directory resources and configurations. These activities map directly to ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information"" as they involve retrieving, interpreting, and managing data from Azure AD.",,,,,,,,,,
Filament MCP Server - Laravel Loop,https://mcp.so/server/laravel-loop-filament/kirschbaum-development,Description: Filament MCP Server for Laravel Loop Use cases: Listing all available Filament Resources for an MCP client. Describing the structure and fields of a specific resource. Querying data with optional filters for specific resources. Executing bulk actions on resources in ReadWrite mode.,Yes,"The MCP server enables listing, describing, querying, and performing bulk actions on Filament Resources, which are typical tasks in database administration, data management, and backend web development—roles that are well-represented in O*NET and the formal economy.",Getting Information; Processing Information; Analyzing Data or Information,"The Filament MCP Server for Laravel Loop enables AI assistants to list, describe, query, and perform bulk actions on structured data resources, which directly involves obtaining, processing, and analyzing information. These activities align with ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information"" as defined in the ONET GWAs.",,,,,,,,,,
mxHERO Mail2Cloud MCP,https://mcp.so/server/mxhero-mail2cloud-mcp/mxHERO,"Description: A high performance email search MCP for teams & companies. Secure & scalable across multiple email accounts and archives with support for custom filters (e.g., customer facing communications only). This MCP is used to facilitate seamless integration to mxHERO Mail2Cloud Advanced. Mail2Cloud Advanced is a high performance data pipeline to a company's email data. Mail2Cloud Advanced connects to company email services and optimizes the content for fast, scalable and secure access by AI solutions Use cases: Facilitating knowledge recovery from extensive email archives. Enhancing productivity by providing quick access to relevant email communications. Supporting AI solutions in searching and analyzing email data.",Yes,"The MCP server enables high-performance search and retrieval of email communications across company accounts, which aligns with occupational tasks such as information retrieval, knowledge management, and email analysis—activities commonly performed by administrative professionals, knowledge workers, and IT staff as represented in O*NET.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP enables searching, filtering, and retrieving information from large email archives, which directly maps to activities involving obtaining, processing, and analyzing information. It does not directly involve communication, decision-making, or other interpersonal or physical activities.",,,,,,,,,,
MCP Server,https://mcp.so/server/AzureAI.MCP/RobertEichenseer,"Description: MCP Server (Resources, Tools, Prompts)",Not enough information,"The description only states that the MCP server involves ""Resources, Tools, Prompts"" and allows AI assistants to access external tools, APIs, or data sources, but it does not specify any concrete tasks or occupational activities it enables. The information is too generic to determine if it performs or enables a standardized job task.",,,,,,,,,,,,
mcp-fastify-server,https://mcp.so/server/mcp-fastify-server/bgaurav7,Description: Sample Model Context Protocol (MCP) Server Use cases: Developing applications that require a structured communication protocol. Learning how to implement a server using Fastify and TypeScript. Prototyping and testing Model Context Protocol implementations.,Yes,"The description states that the MCP server is used for developing applications with structured communication, learning server implementation, and prototyping/testing protocol implementations, all of which are concrete tasks performed by software developers and engineers as part of their occupational roles according to O*NET.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables structured communication between AI assistants and external tools, APIs, or data sources, which directly involves obtaining, processing, and analyzing information, as well as supporting application development and prototyping. These activities map to ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information"" as the core GWAs required to capture all relevant ONET tasks that could be automated by this system.",,,,,,,,,,
Amadeus MCP Server,https://mcp.so/server/amadeus-mcp/ben4mn,Description: MCP server integrating Amadeus flight search capabilities with Claude Desktop Use cases: Searching for flights between two IATA airport codes. Integrating flight search capabilities into applications using Claude Desktop. Automating flight search queries for travel planning.,Yes,"The MCP server enables searching for flights between IATA airport codes and automates flight search queries, which are concrete tasks performed by travel agents, travel planners, and related occupations as part of their paid work according to O*NET.",Getting Information,"The MCP server enables searching for flights between airport codes, integrating flight search into applications, and automating travel planning queries. These activities primarily involve obtaining and processing information about flights, which aligns with the GWA ""Getting Information.""",,,,,,,,,,
Hubble AI for Solana,https://mcp.so/server/hubble-ai-mcp/HubbleVision,Description: Hubble-ai mcp server Use cases: Analyzing recent Pumpfun transactions. Visualizing transaction trends over time. Generating charts for presentations or reports.,Yes,"The MCP server analyzes financial transactions, visualizes trends, and generates charts for presentations or reports—tasks that align with occupational activities in data analysis, finance, and business reporting as represented in O*NET.",Analyzing Data or Information; Getting Information; Processing Information; Interpreting the Meaning of Information for Others,"The MCP server enables the analysis of transaction data, visualization of trends, and generation of charts, all of which involve obtaining, processing, and interpreting data and information. These activities align with ""Analyzing Data or Information,"" ""Getting Information,"" ""Processing Information,"" and ""Interpreting the Meaning of Information for Others.""",,,,,,,,,,
CyberChef API MCP Server,https://mcp.so/server/cyberchef-api-mcp-server/slouchd,Description: CyberChef API MCP Server Use cases: Automating data processing tasks using CyberChef operations. Integrating CyberChef functionalities into custom applications. Batch processing of data with predefined recipes.,Yes,"The MCP server enables automation and integration of CyberChef operations, which are widely used for data processing tasks such as encoding, decoding, and data transformation—activities that are common in IT, cybersecurity, and data analysis occupations as represented in O*NET.",Processing Information; Analyzing Data or Information; Getting Information,"The CyberChef API MCP server automates and integrates data processing tasks, which involves obtaining, transforming, and analyzing data using predefined operations or recipes. These activities align most directly with ""Processing Information,"" ""Analyzing Data or Information,"" and ""Getting Information,"" as the server enables the automation of these core information-centric work activities.",,,,,,,,,,
Self-hosted AI starter kit (by the n8n team),https://mcp.so/server/pydantic_lod_test/cedricdcc,Description: pydantic agent workflow using mcp servers to test out advanced retrieval of linked data Use cases: Building custom AI workflows for data processing. Creating chatbots that interact with local models. Developing applications that require integration with various APIs.,Yes,"The MCP server is described as enabling workflows for data processing, chatbot development, and API integration, all of which are concrete tasks commonly performed in occupational settings such as software development, data analysis, and IT support, as represented in O*NET.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables AI assistants to access and process external data, interact with APIs, and build custom workflows, which directly involves obtaining, processing, and analyzing information. These activities align with ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information"" as core GWAs. Additionally, ""Developing Objectives and Strategies"" may be relevant for building custom workflows, but the minimal set is best captured by the first three.",,,,,,,,,,
Gitee MCP Server,https://mcp.so/server/mcp-gitee/oschina,"Description: mcp-gitee is a Model Context Protocol (MCP) server implementation for Gitee. It provides a set of tools that interact with Gitee's API, allowing AI assistants to manage repository, issues, pull requests, etc. Use cases: Managing repository issues and pull requests. Automating repository management tasks for AI assistants. Integrating Gitee functionalities into other applications.",Yes,"The MCP server provides tools for managing repository issues and pull requests and automating repository management tasks, which are concrete work activities commonly performed by software developers and project managers as part of their occupational roles, as represented in O*NET.",Getting Information; Processing Information; Documenting/Recording Information; Making Decisions and Solving Problems,"The mcp-gitee server enables AI assistants to interact with Gitee's API for managing repositories, issues, and pull requests, which involves obtaining, processing, and documenting information, as well as making decisions and solving problems related to repository management. These activities map directly to ""Getting Information,"" ""Processing Information,"" ""Documenting/Recording Information,"" and ""Making Decisions and Solving Problems.""",,,,,,,,,,
