title,gwa_human,gwa_llm,gwa_reasoning
Alist MCP Server,Documenting/Recording Information,Getting Information; Processing Information,"The MCP server for Alist primarily enables automated retrieval and processing of data via the Alist API, as well as facilitating communication between services and automating related tasks. These activities align most directly with ""Getting Information"" and ""Processing Information,"" as the core functions involve accessing, retrieving, and handling data from external sources."
Vapi MCP for Cursor,Communicating with People Outside the Organization; Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,Communicating with People Outside the Organization; Performing for or Working Directly with the Public; Analyzing Data or Information,"The MCP server enables AI assistants to make customer service calls, create personalized voice assistants, and analyze conversation data. These activities involve communicating with people outside the organization, performing for or working directly with the public, and analyzing data or information."
MCP Graph API Integration,Performing Administrative Activities,Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions, which involves obtaining, processing, and analyzing information about directory resources and configurations. These activities map directly to ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information"" as they involve retrieving, interpreting, and managing data from Azure AD."
mcp-fastify-server,Working with Computers,Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables structured communication between AI assistants and external tools, APIs, or data sources, which directly involves obtaining, processing, and analyzing information, as well as supporting application development and prototyping. These activities map to ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information"" as the core GWAs required to capture all relevant ONET tasks that could be automated by this system."
Amadeus MCP Server,Processing Information,Getting Information,"The MCP server enables searching for flights between airport codes, integrating flight search into applications, and automating travel planning queries. These activities primarily involve obtaining and processing information about flights, which aligns with the GWA ""Getting Information."""
Hubble AI for Solana,Documenting/Recording Information,Analyzing Data or Information; Getting Information; Processing Information; Interpreting the Meaning of Information for Others,"The MCP server enables the analysis of transaction data, visualization of trends, and generation of charts, all of which involve obtaining, processing, and interpreting data and information. These activities align with ""Analyzing Data or Information,"" ""Getting Information,"" ""Processing Information,"" and ""Interpreting the Meaning of Information for Others."""
CyberChef API MCP Server,Repairing and Maintaining Mechanical Equipment,Processing Information; Analyzing Data or Information; Getting Information,"The CyberChef API MCP server automates and integrates data processing tasks, which involves obtaining, transforming, and analyzing data using predefined operations or recipes. These activities align most directly with ""Processing Information,"" ""Analyzing Data or Information,"" and ""Getting Information,"" as the server enables the automation of these core information-centric work activities."
Self-hosted AI starter kit (by the n8n team),Working with Computers,Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables AI assistants to access and process external data, interact with APIs, and build custom workflows, which directly involves obtaining, processing, and analyzing information. These activities align with ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information"" as core GWAs. Additionally, ""Developing Objectives and Strategies"" may be relevant for building custom workflows, but the minimal set is best captured by the first three."
mentor-mcp-server,Analyzing Data or Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Interpreting the Meaning of Information for Others; Providing Consultation and Advice to Others; Thinking Creatively,"The MCP server enables activities such as reviewing code, evaluating design documents, providing feedback on technical writing, and brainstorming features. These tasks involve analyzing information, evaluating quality, interpreting information, providing advice, and creative thinking. Therefore, the relevant GWAs are those that cover information analysis, evaluation, consultation, and creative ideation."
Sonar MVP Server,Analyzing Data or Information; Providing Consultation and Advice to Others,"Getting Information; Processing Information; Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings","The MCP server for SonarQube Cloud API enables automated code quality analysis, integration into CI/CD pipelines, and access to code quality data. These activities primarily involve obtaining information from code analysis, processing and evaluating that information against standards, and monitoring code quality as part of development workflows."
mcp_py_exam,Working with Computers,Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,"The MCP server is primarily focused on enabling efficient server-client communication, data transfer using the Gemini protocol, and supporting application development and educational use in server-client architecture. These activities directly involve obtaining, processing, and analyzing information, as well as updating technical knowledge."
MCP-testing: OpenWebUI + mcpo Integration,Providing Consultation and Advice to Others,Getting Information; Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Processing Information,"The MCP server is designed to test, validate, and automate the evaluation of AI model context protocol servers, which involves gathering information about server performance, analyzing test results, evaluating compliance and compatibility, and processing/testing data. These activities align with GWAs related to information gathering, analysis, evaluation, and processing."
MCP Lab,Providing Consultation and Advice to Others; Working with Computers,Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables AI assistants to access, process, and experiment with external tools, APIs, and data sources, which directly involves obtaining, analyzing, and processing information. Its primary use cases are developing, testing, and customizing tool integrations, all of which center on handling data and information flows between systems."
Python Shopify MCP Server for Claude,Analyzing Data or Information; Getting Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Getting Information; Analyzing Data or Information; Processing Information; Providing Consultation and Advice to Others,"The Shopify MCP server enables retrieval and analysis of product, inventory, customer, and order data, as well as providing contextual assistance in e-commerce conversations. These activities map directly to ""Getting Information,"" ""Analyzing Data or Information,"" ""Processing Information,"" and ""Providing Consultation and Advice to Others,"" as they involve accessing, interpreting, and communicating business data to support e-commerce operations."
Web Content MCP,Documenting/Recording Information; Getting Information; Processing Information,Getting Information; Processing Information,"The MCP server enables AI agents to search for, retrieve, and summarize web content, which directly maps to the human work activity of gathering and processing information from external sources. This aligns most closely with ""Getting Information"" and ""Processing Information,"" as these GWAs encompass searching for, retrieving, and handling data or content from the web or specific URLs."
MCP Chat Adapter,"Analyzing Data or Information; Controlling Machines and Processes; Documenting/Recording Information; Getting Information; Interpreting the Meaning of Information for Others; Making Decisions and Solving Problems; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Processing Information; Updating and Using Relevant Knowledge",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server enables AI assistants to manage and facilitate chat-based interactions, access and process information via chat endpoints, and integrate chat capabilities into applications. This directly involves ""Getting Information"" (retrieving and exchanging data through chat), ""Processing Information"" (handling and managing chat content), and ""Communicating with People Outside the Organization"" (enabling external user interactions via chatbots)."
Claude MCP: Enhance Your Experience with Claude.ai,Working with Computers,"Getting Information; Processing Information; Organizing, Planning, and Prioritizing Work","The MCP browser extension enables Claude.ai to access external tools, APIs, or data sources, which directly supports activities such as obtaining information, processing it, and enhancing workflows. Its use cases focus on productivity, workflow streamlining, and customization, all of which involve getting and processing information, as well as organizing and planning work."
