title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
SQL Server MCP Server,https://mcp.so/server/mssql-mcp-server/Popplywop,Description: SQL Server MCP Server - Provides SQL Server database access via Model Context Protocol Use cases: Querying customer data from a SQL Server database. Inserting new records into a database table. Updating existing records based on specific conditions.,Yes,"The MCP server enables querying, inserting, and updating records in a SQL Server database, which are core tasks performed by database administrators, analysts, and other IT professionals as part of their paid occupational duties.",Getting Information; Processing Information; Documenting/Recording Information; Updating and Using Relevant Knowledge,"The SQL Server MCP server enables querying, inserting, and updating records in a database, which directly automates the retrieval (Getting Information), manipulation (Processing Information), and storage (Documenting/Recording Information) of data, as well as keeping data current (Updating and Using Relevant Knowledge).",,,,,,,,,,
DART-mcp-server,https://mcp.so/server/DART-mcp-server/snaiws,Description: API mcp Use cases: Fetching financial statements of publicly listed companies in Korea. Analyzing trends in corporate disclosures over time. Integrating financial data into applications for analysis and reporting.,Yes,"The MCP server enables fetching financial statements, analyzing corporate disclosure trends, and integrating financial data for analysis and reporting, all of which are tasks commonly performed by financial analysts, accountants, and business intelligence professionals as part of their paid work.",Getting Information; Analyzing Data or Information; Processing Information; Documenting/Recording Information,"The MCP server automates the retrieval of financial statements and corporate disclosures (Getting Information), supports trend analysis (Analyzing Data or Information; Processing Information), and enables integration of this data into applications for reporting (Documenting/Recording Information).",,,,,,,,,,
SumoLogic MCP Server,https://mcp.so/server/mcp-sumologic/greyaperez,Description: MCP Server for SumoLogic API Use cases: Monitoring application performance through SumoLogic. Collecting and analyzing logs from multiple sources. Automating data reporting and visualization tasks.,Yes,"The MCP server enables monitoring application performance, collecting and analyzing logs, and automating data reporting and visualization, all of which are tasks commonly performed by IT professionals, DevOps engineers, and data analysts as part of their paid job responsibilities.","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings; Processing Information; Documenting/Recording Information","The MCP server enables AI assistants to collect, analyze, and report on log and performance data from SumoLogic, which directly automates the analysis and processing of information, monitoring of systems, and documentation or reporting of findings.",,,,,,,,,,
Alist MCP Server,https://mcp.so/server/alist-mcp-server/JavanShen,Description: MCP Server for Alist Use cases: Integrating Alist API into applications for data retrieval. Facilitating communication between different services using MCP. Automating tasks that require interaction with the Alist API.,Yes,"The MCP server enables integration with the Alist API for data retrieval, service communication, and task automation, all of which are activities commonly performed by software developers or IT professionals as part of their paid work.",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server for Alist automates retrieving data from the Alist API (Getting Information), facilitates communication between services (Communicating with People Outside the Organization), and enables automated handling and use of that data (Processing Information). These activities directly correspond to the described use cases.",,,,,,,,,,
Vapi MCP for Cursor,https://mcp.so/server/vapi-mcp/matthewdcage,Description: Vapi.ai MCP server & HTTP Server Use cases: Making customer service calls using AI assistants. Creating personalized voice assistants for different applications. Analyzing conversation data for insights and improvements.,Yes,"The MCP server enables making customer service calls, creating personalized voice assistants, and analyzing conversation data, all of which are tasks that humans are commonly paid to perform in various industries.",Communicating with People Outside the Organization; Analyzing Data or Information; Performing for or Working Directly with the Public,"The MCP server enables AI assistants to make customer service calls and create personalized voice assistants, which directly automates communication with people outside the organization and performing for or working directly with the public. Additionally, it analyzes conversation data, which aligns with analyzing data or information.",,,,,,,,,,
MCP Graph API Integration,https://mcp.so/server/graph_api_mcp/ovaismehboob,Description: MCP Server that talks to Graph API Use cases: Querying Azure AD resources using natural language. Managing application registrations in Azure AD. Assisting users with Azure AD permissions and configurations.,Yes,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions, all of which are tasks commonly performed by IT professionals and administrators as part of their paid job responsibilities.",Getting Information;Processing Information;Evaluating Information to Determine Compliance with Standards;Providing Consultation and Advice to Others,"The MCP server enables querying and managing Azure AD resources, which involves retrieving, processing, and evaluating information about users, permissions, and configurations, as well as assisting users with advice and guidance on Azure AD management tasks.",,,,,,,,,,
Filament MCP Server - Laravel Loop,https://mcp.so/server/laravel-loop-filament/kirschbaum-development,Description: Filament MCP Server for Laravel Loop Use cases: Listing all available Filament Resources for an MCP client. Describing the structure and fields of a specific resource. Querying data with optional filters for specific resources. Executing bulk actions on resources in ReadWrite mode.,Yes,"The MCP server enables listing, describing, querying, and performing bulk actions on Filament Resources, which are typical administrative and data management tasks in web applications—activities for which humans are commonly employed.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables AI assistants to list, describe, and query data resources, which aligns with ""Getting Information"" and ""Processing Information."" It also supports describing resource structures and fields, which involves ""Documenting/Recording Information.""",,,,,,,,,,
mxHERO Mail2Cloud MCP,https://mcp.so/server/mxhero-mail2cloud-mcp/mxHERO,"Description: A high performance email search MCP for teams & companies. Secure & scalable across multiple email accounts and archives with support for custom filters (e.g., customer facing communications only). This MCP is used to facilitate seamless integration to mxHERO Mail2Cloud Advanced. Mail2Cloud Advanced is a high performance data pipeline to a company's email data. Mail2Cloud Advanced connects to company email services and optimizes the content for fast, scalable and secure access by AI solutions Use cases: Facilitating knowledge recovery from extensive email archives. Enhancing productivity by providing quick access to relevant email communications. Supporting AI solutions in searching and analyzing email data.",Yes,"The MCP server enables searching and analyzing company email data, facilitating knowledge recovery and enhancing productivity—tasks that are commonly performed by knowledge workers, compliance officers, and other professionals as part of their paid job responsibilities.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables AI assistants to search, retrieve, and analyze information from extensive email archives, which directly automates the activities of getting information, processing information, and analyzing data or information from email communications.",,,,,,,,,,
MCP Server,https://mcp.so/server/AzureAI.MCP/RobertEichenseer,"Description: MCP Server (Resources, Tools, Prompts)",Yes,"The MCP server allows AI assistants to access external tools, APIs, or data sources to perform real-world tasks, which are activities that humans are often paid to do in various professional settings.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables AI assistants to access external tools, APIs, or data sources, which primarily automates the activities of retrieving (Getting Information), handling (Processing Information), and storing or outputting (Documenting/Recording Information) data and information from various resources.",,,,,,,,,,
mcp-fastify-server,https://mcp.so/server/mcp-fastify-server/bgaurav7,Description: Sample Model Context Protocol (MCP) Server Use cases: Developing applications that require a structured communication protocol. Learning how to implement a server using Fastify and TypeScript. Prototyping and testing Model Context Protocol implementations.,Yes,"The MCP server is described as a tool for developing applications, learning server implementation, and prototyping/testing protocol implementations, all of which are activities that can be part of paid software development or engineering roles.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables AI assistants to access external tools, APIs, or data sources, which directly supports the activities of obtaining (Getting Information), handling (Processing Information), and potentially storing or logging (Documenting/Recording Information) data as part of structured communication protocols and application development.",,,,,,,,,,
Amadeus MCP Server,https://mcp.so/server/amadeus-mcp/ben4mn,Description: MCP server integrating Amadeus flight search capabilities with Claude Desktop Use cases: Searching for flights between two IATA airport codes. Integrating flight search capabilities into applications using Claude Desktop. Automating flight search queries for travel planning.,Yes,"The MCP server enables searching for flights between airport codes and automating flight search queries, which are tasks commonly performed by travel agents and other professionals in the travel industry for compensation.",Getting Information; Processing Information,"The MCP server automates searching for flights between airport codes, which involves retrieving and processing flight information from the Amadeus API. These activities align with ""Getting Information"" and ""Processing Information"" as defined in the O*NET GWAs.",,,,,,,,,,
Hubble AI for Solana,https://mcp.so/server/hubble-ai-mcp/HubbleVision,Description: Hubble-ai mcp server Use cases: Analyzing recent Pumpfun transactions. Visualizing transaction trends over time. Generating charts for presentations or reports.,Yes,"The MCP server enables analysis of financial transactions, visualization of trends, and generation of charts for presentations or reports, all of which are tasks commonly performed by professionals such as analysts, consultants, or financial advisors and are occupationally relevant.",Analyzing Data or Information; Visualizing transaction trends over time; Generating charts for presentations or reports.,"The MCP server's primary functions are analyzing transaction data and generating visualizations, which directly correspond to ""Analyzing Data or Information."" Creating charts also involves ""Interpreting the Meaning of Information for Others,"" but the most direct match is analyzing and visualizing data.",,,,,,,,,,
CyberChef API MCP Server,https://mcp.so/server/cyberchef-api-mcp-server/slouchd,Description: CyberChef API MCP Server Use cases: Automating data processing tasks using CyberChef operations. Integrating CyberChef functionalities into custom applications. Batch processing of data with predefined recipes.,Yes,"The MCP server enables automation and integration of CyberChef operations, which are commonly used in data processing, cybersecurity, and digital forensics—fields where such tasks are occupationally relevant and compensated.",Processing Information; Analyzing Data or Information,"The CyberChef API MCP server automates data processing tasks and enables batch processing of data using predefined recipes, which directly aligns with ""Processing Information."" Additionally, since CyberChef operations often involve transforming, extracting, or analyzing data, ""Analyzing Data or Information"" is also a primary activity automated by this MCP server.",,,,,,,,,,
Self-hosted AI starter kit (by the n8n team),https://mcp.so/server/pydantic_lod_test/cedricdcc,Description: pydantic agent workflow using mcp servers to test out advanced retrieval of linked data Use cases: Building custom AI workflows for data processing. Creating chatbots that interact with local models. Developing applications that require integration with various APIs.,Yes,"The MCP server enables building custom AI workflows, creating chatbots, and integrating with APIs, all of which are tasks that humans are paid to do in software development, data processing, and automation roles.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables AI assistants to access external tools, APIs, and data sources, which directly supports the activities of obtaining, processing, and analyzing information as part of custom AI workflows and data retrieval tasks. These GWAs best capture the primary economic activities automated by the MCP server as described.",,,,,,,,,,
Gitee MCP Server,https://mcp.so/server/mcp-gitee/oschina,"Description: mcp-gitee is a Model Context Protocol (MCP) server implementation for Gitee. It provides a set of tools that interact with Gitee's API, allowing AI assistants to manage repository, issues, pull requests, etc. Use cases: Managing repository issues and pull requests. Automating repository management tasks for AI assistants. Integrating Gitee functionalities into other applications.",Yes,"The MCP server enables management of repository issues and pull requests, as well as automating repository management tasks, all of which are activities commonly performed by software developers or project managers as part of their paid work.","Getting Information; Documenting/Recording Information; Processing Information; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities","The MCP server for Gitee automates tasks such as managing repository issues and pull requests, which involve retrieving, recording, and processing information, as well as organizing and administering repository-related activities. These actions align directly with the selected GWAs.",,,,,,,,,,
iRacing,https://mcp.so/server/iracing-data-mcp-server/emilioSp,Description: Node.js mcp server for iRacing data api Use cases: Developing applications that require real-time racing data. Analyzing racing performance metrics. Creating visualizations for racing statistics.,Yes,"The MCP server enables access to real-time racing data, performance analysis, and statistics visualization, all of which are tasks relevant to professional roles in motorsports analytics, software development, and data visualization, for which people are commonly paid.",Getting Information; Analyzing Data or Information; Processing Information,"The MCP server provides real-time access to iRacing data, which enables applications to retrieve (Getting Information), analyze (Analyzing Data or Information), and process (Processing Information) racing performance metrics and statistics. These activities align directly with the described use cases of developing applications, analyzing metrics, and creating visualizations.",,,,,,,,,,
mentor-mcp-server,https://mcp.so/server/cyanheads_mentor-mcp-server/MCP-Mirror,Description: Mirror of Use cases: Conducting thorough code reviews to improve software quality. Evaluating design documents for user interface improvements. Providing feedback on technical writing and documentation. Brainstorming new features and assessing their feasibility.,Yes,"The described use cases—code reviews, evaluating design documents, providing feedback on technical writing, and brainstorming features—are all tasks commonly performed by professionals in software development and related fields, for which people are routinely paid.","Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Judging the Qualities of Objects, Services, or People; Providing Consultation and Advice to Others; Thinking Creatively","The MCP server automates activities such as code review, design evaluation, feedback on documentation, and brainstorming features, which involve analyzing information, evaluating compliance and quality, providing advice, and creative thinking. These GWAs best capture the primary economic activities described.",,,,,,,,,,
Sonar MVP Server,https://mcp.so/server/sonar-mcp-server/lreimer,Description: A MCP server implementation for the SonarQube Cloud API in Golang. Use cases: Integrating SonarQube analysis into CI/CD pipelines. Automating code quality checks in development workflows. Building custom tools that leverage SonarQube data.,Yes,"The MCP server enables integration of SonarQube analysis into CI/CD pipelines, automates code quality checks, and supports building custom tools with SonarQube data—all of which are tasks commonly performed by software engineers and DevOps professionals as part of their paid work.","Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings; Analyzing Data or Information","The MCP server automates SonarQube code analysis, which involves evaluating code for compliance with quality standards, monitoring code quality in development workflows, and analyzing code data to identify issues. These activities directly map to the selected GWAs.",,,,,,,,,,
mcp_py_exam,https://mcp.so/server/mcp_py_exam/istanadodan,Description: MCP servers and client with gemini Use cases: Building applications that require efficient server-client communication. Developing tools that leverage the Gemini protocol for data transfer. Educational purposes for understanding server-client architecture in Python.,Yes,"The MCP server enables efficient server-client communication and integration with external tools and APIs, which are foundational tasks in software development and IT—fields where such skills and systems are directly paid for in the economy.",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server enables AI assistants to access external tools, APIs, or data sources, which directly automates the activities of obtaining (Getting Information), handling (Processing Information), and facilitating data exchange between systems (Communicating with People Outside the Organization) through efficient server-client communication.",,,,,,,,,,
mcp-server-rubygems,https://mcp.so/server/mcp-server-rubygems/6,Description: A Model Context Protocol (MCP) server for fetching rubygems metadata via rubygems.org API Use cases: Developers can retrieve metadata for RubyGems to integrate into their applications. Users can search for specific RubyGems based on queries. Gem maintainers can check dependencies and ownership information.,Yes,"The MCP server enables retrieval of RubyGems metadata, searching for gems, and checking dependencies and ownership, all of which are tasks that developers and maintainers perform as part of their paid work in software development and maintenance.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server automates the retrieval (Getting Information), processing, and analysis (Processing Information; Analyzing Data or Information) of RubyGems metadata, enabling users to search, access, and interpret gem-related data for development and maintenance purposes.",,,,,,,,,,
