title,text_for_llm,gwa_human,gwa_llm,gwa_reasoning
Alist MCP Server,Description: MCP Server for Alist Use cases: Integrating Alist API into applications for data retrieval. Facilitating communication between different services using MCP. Automating tasks that require interaction with the Alist API.,Documenting/Recording Information,Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server for Alist primarily enables automated data retrieval, integration, and communication between services via APIs, which directly maps to activities such as ""Getting Information,"" ""Processing Information,"" and ""Communicating with People Outside the Organization."" These GWAs cover the core human work of accessing, exchanging, and handling data between systems, which are the main functions automated or supported by this MCP."
Vapi MCP for Cursor,Description: Vapi.ai MCP server & HTTP Server Use cases: Making customer service calls using AI assistants. Creating personalized voice assistants for different applications. Analyzing conversation data for insights and improvements.,Communicating with People Outside the Organization; Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,Communicating with People Outside the Organization; Analyzing Data or Information; Getting Information,"The MCP server enables AI assistants to make customer service calls, create personalized voice assistants, and analyze conversation data. These activities directly involve ""Communicating with People Outside the Organization"" (for customer calls), ""Analyzing Data or Information"" (for conversation analysis), and ""Getting Information"" (as AI assistants retrieve and process information during interactions). Excluding any of these would risk omitting core tasks automated by the MCP."
MCP Graph API Integration,Description: MCP Server that talks to Graph API Use cases: Querying Azure AD resources using natural language. Managing application registrations in Azure AD. Assisting users with Azure AD permissions and configurations.,Performing Administrative Activities,Getting Information; Processing Information; Updating and Using Relevant Knowledge; Evaluating Information to Determine Compliance with Standards; Making Decisions and Solving Problems,"The MCP server enables querying and managing Azure AD resources, which involves obtaining information, processing it, and potentially updating configurations or permissions. These activities map directly to ""Getting Information,"" ""Processing Information,"" and ""Updating and Using Relevant Knowledge."" Additionally, ""Evaluating Information to Determine Compliance with Standards"" is relevant due to permissions and configuration management, and ""Making Decisions and Solving Problems"" may be involved in assisting users with configurations."
mcp-fastify-server,Description: Sample Model Context Protocol (MCP) Server Use cases: Developing applications that require a structured communication protocol. Learning how to implement a server using Fastify and TypeScript. Prototyping and testing Model Context Protocol implementations.,Working with Computers,Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,"The MCP server enables structured communication between AI assistants and external tools, APIs, or data sources, which directly involves ""Getting Information"" and ""Processing Information."" Developing, prototyping, and testing such a server also inherently requires ""Analyzing Data or Information"" and ""Updating and Using Relevant Knowledge"" to ensure correct implementation and improvement. Excluding any of these would risk omitting core technical and operational activities involved in deploying and using an MCP server in real-world settings."
Hubble AI for Solana,Description: Hubble-ai mcp server Use cases: Analyzing recent Pumpfun transactions. Visualizing transaction trends over time. Generating charts for presentations or reports.,Documenting/Recording Information,Analyzing Data or Information; Getting Information; Processing Information; Interpreting the Meaning of Information for Others,"The MCP server enables the analysis of transaction data, visualization of trends, and generation of charts, all of which are core activities in analyzing and processing information. These tasks also involve interpreting data for others (e.g., generating charts for presentations), and require obtaining relevant information from external sources. Therefore, the smallest permissive set should include GWAs related to data analysis, information processing, and interpretation."
CyberChef API MCP Server,Description: CyberChef API MCP Server Use cases: Automating data processing tasks using CyberChef operations. Integrating CyberChef functionalities into custom applications. Batch processing of data with predefined recipes.,Repairing and Maintaining Mechanical Equipment,Processing Information; Analyzing Data or Information; Getting Information; Updating and Using Relevant Knowledge,"The CyberChef API MCP server automates and integrates data processing tasks, which directly involves ""Processing Information"" and ""Analyzing Data or Information."" It also enables batch operations and integration into applications, which requires ""Getting Information"" from sources and ""Updating and Using Relevant Knowledge"" to apply recipes or operations. Excluding any of these would risk omitting core tasks automated by CyberChef in real-world workflows."
Self-hosted AI starter kit (by the n8n team),Description: pydantic agent workflow using mcp servers to test out advanced retrieval of linked data Use cases: Building custom AI workflows for data processing. Creating chatbots that interact with local models. Developing applications that require integration with various APIs.,Working with Computers,Getting Information; Processing Information; Analyzing Data or Information; Developing Objectives and Strategies; Updating and Using Relevant Knowledge,"The MCP server enables AI assistants to access and process external data, interact with APIs, and build custom workflows, which directly involves ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information."" Additionally, ""Developing Objectives and Strategies"" is relevant for building custom workflows, and ""Updating and Using Relevant Knowledge"" applies to integrating and utilizing new data sources or APIs. Excluding any of these would risk omitting core activities automated or supported by the MCP in real-world deployments."
mentor-mcp-server,Description: Mirror of Use cases: Conducting thorough code reviews to improve software quality. Evaluating design documents for user interface improvements. Providing feedback on technical writing and documentation. Brainstorming new features and assessing their feasibility.,Analyzing Data or Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,"Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Judging the Qualities of Objects, Services, or People; Interpreting the Meaning of Information for Others; Providing Consultation and Advice to Others; Thinking Creatively","The MCP server enables activities such as code review, design evaluation, technical writing feedback, and feature brainstorming, all of which involve analyzing information, evaluating quality, interpreting meaning, providing advice, and creative thinking. These activities map directly to GWAs related to information analysis, evaluation, consultation, and creativity, and omitting any of these would risk excluding relevant ONET tasks automated by the MCP."
Sonar MVP Server,Description: A MCP server implementation for the SonarQube Cloud API in Golang. Use cases: Integrating SonarQube analysis into CI/CD pipelines. Automating code quality checks in development workflows. Building custom tools that leverage SonarQube data.,Analyzing Data or Information; Providing Consultation and Advice to Others,Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information,"The MCP server enables integration with SonarQube for code analysis, automating code quality checks, and providing access to code quality data. This directly supports activities such as analyzing data or information, evaluating information to determine compliance with standards, getting information, and processing information, as these are core to code analysis and quality assurance workflows."
mcp_py_exam,Description: MCP servers and client with gemini Use cases: Building applications that require efficient server-client communication. Developing tools that leverage the Gemini protocol for data transfer. Educational purposes for understanding server-client architecture in Python.,Working with Computers,Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,"The MCP server enables efficient server-client communication, data transfer via the Gemini protocol, and supports application development and educational use in server-client architecture. This directly involves activities such as obtaining and processing information, analyzing data, and updating technical knowledge, all of which are core to developing, deploying, and maintaining such systems."
