title,gwa_llm_raw,gwa_human_raw,gwa_shared,gwa_llm_only,gwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
SQL Server MCP Server,Analyzing Data or Information; Documenting/Recording Information; Getting Information; Processing Information,Documenting/Recording Information,Documenting/Recording Information,Analyzing Data or Information; Getting Information; Processing Information,,4,1,1,3,0
DART-mcp-server,Getting Information; Analyzing Data or Information; Documenting/Recording Information; Processing Information,Analyzing Data or Information; Getting Information,Analyzing Data or Information; Getting Information,Documenting/Recording Information; Processing Information,,4,2,2,2,0
SumoLogic MCP Server,"Analyzing Data or Information; Getting Information; Monitoring Processes, Materials, or Surroundings; Processing Information; Documenting/Recording Information","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings",Documenting/Recording Information; Getting Information; Processing Information,,5,2,2,3,0
Alist MCP Server,Getting Information; Processing Information; Communicating with People Outside the Organization,Documenting/Recording Information,,Communicating with People Outside the Organization; Getting Information; Processing Information,Documenting/Recording Information,3,1,0,3,1
Vapi MCP for Cursor,Communicating with People Outside the Organization; Performing for or Working Directly with the Public; Analyzing Data or Information; Processing Information,Communicating with People Outside the Organization; Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,Communicating with People Outside the Organization,Analyzing Data or Information; Performing for or Working Directly with the Public; Processing Information,Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,4,4,1,3,3
MCP Graph API Integration,Getting Information; Processing Information; Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Providing Consultation and Advice to Others; Updating and Using Relevant Knowledge,Performing Administrative Activities,,Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information; Providing Consultation and Advice to Others; Updating and Using Relevant Knowledge,Performing Administrative Activities,6,1,0,6,1
Filament MCP Server - Laravel Loop,Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information,Getting Information,Getting Information,Analyzing Data or Information; Documenting/Recording Information; Processing Information,,4,1,1,3,0
mxHERO Mail2Cloud MCP,Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information,Getting Information,Getting Information,Analyzing Data or Information; Documenting/Recording Information; Processing Information,,4,1,1,3,0
mcp-fastify-server,Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information; Updating and Using Relevant Knowledge,Working with Computers,,Analyzing Data or Information; Documenting/Recording Information; Getting Information; Processing Information; Updating and Using Relevant Knowledge,Working with Computers,5,1,0,5,1
Amadeus MCP Server,Getting Information; Processing Information,Processing Information,Processing Information,Getting Information,,2,1,1,1,0
Hubble AI for Solana,Analyzing Data or Information; Getting Information; Interpreting the Meaning of Information for Others; Processing Information; Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Analyzing Data or Information; Getting Information; Interpreting the Meaning of Information for Others; Processing Information,,5,1,1,4,0
