title,gwa_llm_raw,gwa_human_raw,gwa_shared,gwa_llm_only,gwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
SQL Server MCP Server,Getting Information; Processing Information; Documenting/Recording Information; Updating and Using Relevant Knowledge,Documenting/Recording Information,Documenting/Recording Information,Getting Information; Processing Information; Updating and Using Relevant Knowledge,,4,1,1,3,0
DART-mcp-server,Getting Information; Analyzing Data or Information; Processing Information; Documenting/Recording Information,Analyzing Data or Information; Getting Information,Analyzing Data or Information; Getting Information,Documenting/Recording Information; Processing Information,,4,2,2,2,0
SumoLogic MCP Server,"Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings; Processing Information; Documenting/Recording Information","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings",Documenting/Recording Information; Processing Information,,4,2,2,2,0
Alist MCP Server,Getting Information; Processing Information; Communicating with People Outside the Organization,Documenting/Recording Information,,Communicating with People Outside the Organization; Getting Information; Processing Information,Documenting/Recording Information,3,1,0,3,1
Vapi MCP for Cursor,Communicating with People Outside the Organization; Analyzing Data or Information; Performing for or Working Directly with the Public,Communicating with People Outside the Organization; Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,Communicating with People Outside the Organization,Analyzing Data or Information; Performing for or Working Directly with the Public,Establishing and Maintaining Interpersonal Relationships; Performing Administrative Activities; Selling or Influencing Others,3,4,1,2,3
MCP Graph API Integration,Getting Information;Processing Information;Evaluating Information to Determine Compliance with Standards;Providing Consultation and Advice to Others,Performing Administrative Activities,,Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information; Providing Consultation and Advice to Others,Performing Administrative Activities,4,1,0,4,1
Filament MCP Server - Laravel Loop,Getting Information; Processing Information; Documenting/Recording Information,Getting Information,Getting Information,Documenting/Recording Information; Processing Information,,3,1,1,2,0
mxHERO Mail2Cloud MCP,Getting Information; Processing Information; Analyzing Data or Information,Getting Information,Getting Information,Analyzing Data or Information; Processing Information,,3,1,1,2,0
MCP Server,Getting Information; Processing Information; Documenting/Recording Information,,,Documenting/Recording Information; Getting Information; Processing Information,,3,0,0,3,0
mcp-fastify-server,Getting Information; Processing Information; Documenting/Recording Information,Working with Computers,,Documenting/Recording Information; Getting Information; Processing Information,Working with Computers,3,1,0,3,1
Amadeus MCP Server,Getting Information; Processing Information,Processing Information,Processing Information,Getting Information,,2,1,1,1,0
Hubble AI for Solana,Analyzing Data or Information; Visualizing transaction trends over time; Generating charts for presentations or reports.,Documenting/Recording Information,,Analyzing Data or Information; Generating charts for presentations or reports.; Visualizing transaction trends over time,Documenting/Recording Information,3,1,0,3,1
CyberChef API MCP Server,Processing Information; Analyzing Data or Information,Repairing and Maintaining Mechanical Equipment,,Analyzing Data or Information; Processing Information,Repairing and Maintaining Mechanical Equipment,2,1,0,2,1
Self-hosted AI starter kit (by the n8n team),Getting Information; Processing Information; Analyzing Data or Information,Working with Computers,,Analyzing Data or Information; Getting Information; Processing Information,Working with Computers,3,1,0,3,1
Gitee MCP Server,"Getting Information; Documenting/Recording Information; Processing Information; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities",Getting Information,Getting Information,"Documenting/Recording Information; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Processing Information",,5,1,1,4,0
iRacing,Getting Information; Analyzing Data or Information; Processing Information,Getting Information,Getting Information,Analyzing Data or Information; Processing Information,,3,1,1,2,0
mentor-mcp-server,"Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Judging the Qualities of Objects, Services, or People; Providing Consultation and Advice to Others; Thinking Creatively",Analyzing Data or Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyzing Data or Information; Providing Consultation and Advice to Others,"Evaluating Information to Determine Compliance with Standards; Judging the Qualities of Objects, Services, or People; Thinking Creatively",Making Decisions and Solving Problems,5,3,2,3,1
Sonar MVP Server,"Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings; Analyzing Data or Information",Analyzing Data or Information; Providing Consultation and Advice to Others,Analyzing Data or Information,"Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings",Providing Consultation and Advice to Others,3,2,1,2,1
mcp_py_exam,Getting Information; Processing Information; Communicating with People Outside the Organization,Working with Computers,,Communicating with People Outside the Organization; Getting Information; Processing Information,Working with Computers,3,1,0,3,1
mcp-server-rubygems,Getting Information; Processing Information; Analyzing Data or Information,Getting Information,Getting Information,Analyzing Data or Information; Processing Information,,3,1,1,2,0
MCP-testing: OpenWebUI + mcpo Integration,"Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings; Processing Information",Providing Consultation and Advice to Others,,"Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings; Processing Information",Providing Consultation and Advice to Others,3,1,0,3,1
Stability AI MCP Server,"Thinking Creatively; Identifying Objects, Actions, and Events; Judging the Qualities of Objects, Services, or People",Thinking Creatively,Thinking Creatively,"Identifying Objects, Actions, and Events; Judging the Qualities of Objects, Services, or People",,3,1,1,2,0
MCP Lab,Getting Information; Processing Information; Updating and Using Relevant Knowledge,Providing Consultation and Advice to Others; Working with Computers,,Getting Information; Processing Information; Updating and Using Relevant Knowledge,Providing Consultation and Advice to Others; Working with Computers,3,2,0,3,2
Python Shopify MCP Server for Claude,Getting Information; Analyzing Data or Information; Processing Information; Providing Consultation and Advice to Others,Analyzing Data or Information; Getting Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyzing Data or Information; Getting Information; Providing Consultation and Advice to Others,Processing Information,Making Decisions and Solving Problems,4,4,3,1,1
Web Content MCP,Getting Information; Processing Information; Documenting/Recording Information; Interpreting the Meaning of Information for Others,Documenting/Recording Information; Getting Information; Processing Information,Documenting/Recording Information; Getting Information; Processing Information,Interpreting the Meaning of Information for Others,,4,3,3,1,0
MCP Chat Adapter,Getting Information; Processing Information; Communicating with People Outside the Organization,"Analyzing Data or Information; Controlling Machines and Processes; Documenting/Recording Information; Getting Information; Interpreting the Meaning of Information for Others; Making Decisions and Solving Problems; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Processing Information; Updating and Using Relevant Knowledge",Getting Information; Processing Information,Communicating with People Outside the Organization,"Analyzing Data or Information; Controlling Machines and Processes; Documenting/Recording Information; Interpreting the Meaning of Information for Others; Making Decisions and Solving Problems; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Updating and Using Relevant Knowledge",3,10,2,1,8
mcp_test_with_ollama,Getting Information; Processing Information; Making Decisions and Solving Problems; Thinking Creatively,,,Getting Information; Making Decisions and Solving Problems; Processing Information; Thinking Creatively,,4,0,0,4,0
DiceDB MCP,Getting Information; Processing Information; Documenting/Recording Information,Getting Information,Getting Information,Documenting/Recording Information; Processing Information,,3,1,1,2,0
Claude MCP: Enhance Your Experience with Claude.ai,"Organizing, Planning, and Prioritizing Work; Processing Information; Getting Information",Working with Computers,,"Getting Information; Organizing, Planning, and Prioritizing Work; Processing Information",Working with Computers,3,1,0,3,1
comfy-ui-mcp-server MCP server,Documenting/Recording Information; Processing Information; Interpreting the Meaning of Information for Others,Getting Information,,Documenting/Recording Information; Interpreting the Meaning of Information for Others; Processing Information,Getting Information,3,1,0,3,1
